filename,l_min,l_max,b_min,b_max
GaiaSource_207001-207023_p.csv.gz,53.128,55.384,-5.251,-2.594
GaiaSource_207024-207049_p.csv.gz,54.005,56.439,-5.805,-2.865
GaiaSource_207050-207079_p.csv.gz,54.914,57.324,-6.142,-3.415
GaiaSource_207080-207108_p.csv.gz,54.341,58.825,-7.963,-2.811
GaiaSource_207109-207165_p.csv.gz,55.981,59.128,-8.51,-5.182
GaiaSource_207166-207227_p.csv.gz,57.317,60.794,-9.139,-5.447
GaiaSource_207228-207268_p.csv.gz,56.274,60.529,-8.297,-3.591
GaiaSource_207269-207305_p.csv.gz,56.92,59.998,-6.949,-3.309
GaiaSource_207306-207349_p.csv.gz,58.285,61.03,-7.09,-4.023
GaiaSource_207350-207375_p.csv.gz,53.341,61.003,-7.964,0.168
GaiaSource_207376-207396_p.csv.gz,53.724,55.966,-3.751,-1.107
GaiaSource_207397-207417_p.csv.gz,53.832,55.905,-3.013,-0.661
GaiaSource_207418-207440_p.csv.gz,54.435,56.934,-4.159,-1.085
GaiaSource_207441-207465_p.csv.gz,55.392,57.73,-4.27,-1.492
GaiaSource_207466-207491_p.csv.gz,53.95,57.947,-4.012,0.397
GaiaSource_207492-207524_p.csv.gz,53.898,56.406,-2.123,0.67
GaiaSource_207525-207556_p.csv.gz,54.292,57.202,-2.246,1.261
GaiaSource_207557-207587_p.csv.gz,55.651,58.166,-2.646,0.134
GaiaSource_207588-207629_p.csv.gz,55.211,59.717,-4.519,0.733
GaiaSource_207630-207656_p.csv.gz,57.153,59.509,-4.759,-1.991
GaiaSource_207657-207681_p.csv.gz,57.483,60.228,-4.794,-1.529
GaiaSource_207682-207715_p.csv.gz,58.598,61.292,-5.466,-2.605
GaiaSource_207716-207749_p.csv.gz,57.458,61.502,-4.991,-0.601
GaiaSource_207750-207782_p.csv.gz,57.411,59.942,-3.138,-0.365
GaiaSource_207783-207819_p.csv.gz,57.807,60.828,-3.369,0.235
GaiaSource_207820-207852_p.csv.gz,59.287,61.72,-3.427,-0.551
